gene	in_frozen_coverage	in_reconstructed	status
PCDH17	True	True	matched
PCOLCE	True	True	matched
PDE3A	True	True	matched
PDE4D	True	True	matched
PDGFRB	True	True	matched
PDLIM3	True	True	matched
PEAK1	True	True	matched
PECAM1	True	True	matched
PFKFB3	True	True	matched
PHLDA1	True	True	matched
PIEZO2	True	True	matched
PIM1	True	True	matched
PITPNC1	True	True	matched
PLCB1	True	True	matched
PLEKHG1	True	True	matched
PLOD2	True	True	matched
PLXDC1	True	True	matched
PLXDC2	True	True	matched
PMEPA1	True	True	matched
PODXL	True	True	matched
POSTN	True	True	matched
PPARD	True	True	matched
PRDX1	True	True	matched
PRDX4	True	True	matched
PRELP	True	True	matched
PREX2	True	True	matched
PRKG1	True	True	matched
PSAP	True	True	matched
PTMA	True	True	matched
PTPRB	True	True	matched
PTPRC	True	True	matched
PTPRG	True	True	matched
PTPRK	True	True	matched
PTPRM	True	True	matched
RAMP2	True	True	matched
RAPGEF1	True	True	matched
RAPGEF5	True	True	matched
RBM38	True	True	matched
RBM47	True	True	matched
RBMS3	True	True	matched
RGCC	True	True	matched
RGS1	True	True	matched
RGS2	True	True	matched
RGS5	True	True	matched
RIPOR2	True	True	matched
RNASE1	True	True	matched
RNASET2	True	True	matched
RNF144B	True	True	matched
RNF149	True	True	matched
RUNX3	True	True	matched
S100A1	True	True	matched
S100A13	True	True	matched
S100A4	True	True	matched
S100A6	True	True	matched
S100A8	True	True	matched
S100A9	True	True	matched
SAMD3	True	True	matched
SAMHD1	True	True	matched
SAT1	True	True	matched
SDC4	True	True	matched
SDCBP	True	True	matched
SELENOP	True	True	matched
SELL	True	True	matched
SEMA5A	True	True	matched
SERF2	True	True	matched
SERPINA1	True	True	matched
SERPIND1	True	True	matched
SERPINH1	True	True	matched
SGK1	True	True	matched
SH3BGRL3	True	True	matched
SIPA1L1	True	True	matched
SKAP1	True	True	matched
SLC16A10	True	True	matched
SLC1A3	True	True	matched
SLC25A37	True	True	matched
SLC25A39	True	True	matched
SLC40A1	True	True	matched
SLC4A1	True	True	matched
SLCO2B1	True	True	matched
SNCA	True	True	matched
SORT1	True	True	matched
SOX5	True	True	matched
SPARC	True	True	matched
SPOCK1	True	True	matched
SPP1	True	True	matched
SRGN	True	True	matched
ST6GALNAC3	True	True	matched
STAB1	True	True	matched
STAT4	True	True	matched
STK17B	True	True	matched
STRADB	True	True	matched
SULF1	True	True	matched
SYNE2	True	True	matched
SYTL3	True	True	matched
TAGLN	True	True	matched
TBX2	True	True	matched
TCF4	True	True	matched
TCIM	True	True	matched
THBS2	True	True	matched
THY1	True	True	matched
TIMP1	True	True	matched
TINAGL1	True	True	matched
TM4SF1	True	True	matched
TM4SF18	True	True	matched
TMSB10	True	True	matched
TNR	True	True	matched
TPI1	True	True	matched
TPM1	True	True	matched
TPM2	True	True	matched
TPT1	True	True	matched
TRAC	True	True	matched
TRBC2	True	True	matched
TREM2	True	True	matched
TRIM58	True	True	matched
TSC22D1	True	True	matched
TYROBP	True	True	matched
UACA	True	True	matched
UBASH3B	True	True	matched
UBB	True	True	matched
UCHL1	True	True	matched
VAMP8	True	True	matched
VCAN	True	True	matched
VIM	True	True	matched
VSIG4	True	True	matched
VTN	True	True	matched
VWF	True	True	matched
WWTR1	True	True	matched
YBX3	True	True	matched
ZBTB20	True	True	matched
ZNF331	True	True	matched
