gene	in_frozen_coverage	in_reconstructed	status
A2M	True	True	matched
ABCC9	True	True	matched
ABCG2	True	True	matched
ACSL1	True	True	matched
ACTA2	True	True	matched
ACTG1	True	True	matched
ADGRL4	True	True	matched
AEBP1	True	True	matched
AHSP	True	True	matched
AIF1	True	True	matched
AKAP12	True	True	matched
AKAP13	True	True	matched
ALAS2	True	True	matched
ALOX5AP	True	True	matched
ANK1	True	True	matched
ANK3	True	True	matched
ANO2	True	True	matched
ANXA2	True	True	matched
APLP2	True	True	matched
APOA1	True	True	matched
APOA2	True	True	matched
APOA4	True	True	matched
APOB	True	True	matched
APOC1	True	True	matched
APOC2	True	True	matched
APOC3	True	True	matched
APOE	True	True	matched
ARHGAP15	True	True	matched
ARHGAP42	True	True	matched
ARL15	True	True	matched
ASAH1	True	True	matched
ATP1B3	True	True	matched
BGN	True	True	matched
BLVRB	True	True	matched
BMP2K	True	True	matched
C11orf96	True	True	matched
C1QA	True	True	matched
C1QB	True	True	matched
C1QC	True	True	matched
C1R	True	True	matched
C1orf162	True	True	matched
C3	True	True	matched
C4BPA	True	True	matched
C5	True	True	matched
C5AR1	True	True	matched
C9	True	True	matched
CA1	True	True	matched
CA2	True	True	matched
CACNA1C	True	True	matched
CALD1	True	True	matched
CCDC102B	True	True	matched
CCDC80	True	True	matched
CCDC88A	True	True	matched
CCL3	True	True	matched
CCL3L1	True	True	matched
CCL4	True	True	matched
CCL4L2	True	True	matched
CCL5	True	True	matched
CD14	True	True	matched
CD163	True	True	matched
CD2	True	True	matched
CD247	True	True	matched
CD37	True	True	matched
CD3D	True	True	matched
CD3E	True	True	matched
CD3G	True	True	matched
CD52	True	True	matched
CD59	True	True	matched
CD69	True	True	matched
CD74	True	True	matched
CD83	True	True	matched
CD96	True	True	matched
CDC42SE2	True	True	matched
CDH11	True	True	matched
CDH13	True	True	matched
CDH2	True	True	matched
CDH6	True	True	matched
CEBPD	True	True	matched
CELF2	True	True	matched
CFH	True	True	matched
CHKA	True	True	matched
CLDN5	True	True	matched
CLEC14A	True	True	matched
CLEC2D	True	True	matched
CLU	True	True	matched
CNN3	True	True	matched
COL11A1	True	True	matched
COL14A1	True	True	matched
COL18A1	True	True	matched
COL1A1	True	True	matched
COL1A2	True	True	matched
COL2A1	True	True	matched
COL3A1	True	True	matched
COL4A1	True	True	matched
COL4A2	True	True	matched
COL5A1	True	True	matched
COL5A2	True	True	matched
COL6A1	True	True	matched
COL6A2	True	True	matched
COL6A3	True	True	matched
COL8A1	True	True	matched
COL9A1	True	True	matched
COL9A2	True	True	matched
COTL1	True	True	matched
CPE	True	True	matched
CREG1	True	True	matched
CRIP2	True	True	matched
CRYAB	True	True	matched
CSF1R	True	True	matched
CSF2RA	True	True	matched
CST3	True	True	matched
CSTA	True	True	matched
CTHRC1	True	True	matched
CTSB	True	True	matched
CTSD	True	True	matched
CTSL	True	True	matched
CTSS	True	True	matched
CXCL8	True	True	matched
CYBB	True	True	matched
CYGB	True	True	matched
CYTOR	True	True	matched
DAB2	True	True	matched
DCBLD2	True	True	matched
DCN	True	True	matched
DKK3	True	True	matched
DLC1	True	True	matched
DMTN	True	True	matched
DOCK4	True	True	matched
DOCK9	True	True	matched
DPYSL3	True	True	matched
DSTN	True	True	matched
DUSP1	True	True	matched
EBF1	True	True	matched
EBF2	True	True	matched
ECSCR	True	True	matched
EDIL3	True	True	matched
EDNRA	True	True	matched
EEF1A1	True	True	matched
EFEMP1	True	True	matched
EGFL7	True	True	matched
ELL2	True	True	matched
ENO1	True	True	matched
ENPEP	True	True	matched
EPS8	True	True	matched
ERG	True	True	matched
ESAM	True	True	matched
F13A1	True	True	matched
F13B	True	True	matched
FAM13C	True	True	matched
FAM49A	True	True	matched
FBXO7	True	True	matched
FCER1G	True	True	matched
FCGR1A	True	True	matched
FCGR2A	True	True	matched
FCGR2B	True	True	matched
FCGR3A	True	True	matched
FCGRT	True	True	matched
FCN1	True	True	matched
FGA	True	True	matched
FGB	True	True	matched
FGF23	True	True	matched
FGG	True	True	matched
FGL2	True	True	matched
FHL1	True	True	matched
FKBP1A	True	True	matched
FKBP5	True	True	matched
FKBP8	True	True	matched
FLT1	True	True	matched
FN1	True	True	matched
FOLR2	True	True	matched
FOS	True	True	matched
FRMD4A	True	True	matched
FRZB	True	True	matched
FTH1	True	True	matched
FTL	True	True	matched
FYN	True	True	matched
GAB2	True	True	matched
GAPDH	True	True	matched
GLRX5	True	True	matched
GLUL	True	True	matched
GNG11	True	True	matched
GPNMB	True	True	matched
GPR183	True	True	matched
GPR34	True	True	matched
GPX1	True	True	matched
GPX3	True	True	matched
GRB10	True	True	matched
GRN	True	True	matched
GUCY1A1	True	True	matched
GUCY1B1	True	True	matched
GYPC	True	True	matched
GZMA	True	True	matched
HAMP	True	True	matched
HERPUD1	True	True	matched
HIF1A	True	True	matched
HIGD1B	True	True	matched
HIP1	True	True	matched
HLA-DMA	True	True	matched
HLA-DMB	True	True	matched
HLA-DPA1	True	True	matched
HLA-DPB1	True	True	matched
HLA-DQA1	True	True	matched
HLA-DQA2	True	True	matched
HLA-DQB1	True	True	matched
HLA-DRA	True	True	matched
HLA-DRB1	True	True	matched
HLA-DRB5	True	True	matched
HLA-DRB6	True	True	matched
HMBS	True	True	matched
HMOX1	True	True	matched
HSPG2	True	True	matched
ID3	True	True	matched
IER3	True	True	matched
IFI27	True	True	matched
IFI6	True	True	matched
IFITM3	True	True	matched
IGFBP6	True	True	matched
IGFBP7	True	True	matched
IGKC	True	True	matched
IGSF6	True	True	matched
IL2RG	True	True	matched
IL32	True	True	matched
IL33	True	True	matched
INSR	True	True	matched
ISLR	True	True	matched
ITGA2	True	True	matched
ITGB2	True	True	matched
ITGBL1	True	True	matched
ITM2A	True	True	matched
ITM2B	True	True	matched
JAML	True	True	matched
JCHAIN	True	True	matched
KCTD12	True	True	matched
KLF1	True	True	matched
KLKB1	True	True	matched
KNG1	True	True	matched
LAPTM5	True	True	matched
LCK	True	True	matched
LCP1	True	True	matched
LDB2	True	True	matched
LDLR	True	True	matched
LDLRAD4	True	True	matched
LGALS3	True	True	matched
LGMN	True	True	matched
LHFPL6	True	True	matched
LILRB2	True	True	matched
LIPA	True	True	matched
LPA	True	True	matched
LPAR6	True	True	matched
LRP2	True	True	matched
LSP1	True	True	matched
LST1	True	True	matched
LTBP1	True	True	matched
LUM	True	True	matched
LUZP2	True	True	matched
LYZ	True	True	matched
MAF	True	True	matched
MAGI1	True	True	matched
MAML2	True	True	matched
MANBA	True	True	matched
MAP1B	True	True	matched
MAP3K8	True	True	matched
MCAM	True	True	matched
MECOM	True	True	matched
MEP1A	True	True	matched
MFNG	True	True	matched
MGP	True	True	matched
MIR100HG	True	True	matched
MIR4435-2HG	True	True	matched
MKRN1	True	True	matched
MMP9	True	True	matched
MNDA	True	True	matched
MPEG1	True	True	matched
MRC1	True	True	matched
MS4A4A	True	True	matched
MS4A6A	True	True	matched
MS4A7	True	True	matched
MSR1	True	True	matched
MT2A	True	True	matched
MTATP6P1	True	True	matched
MYL6	True	True	matched
MYL9	True	True	matched
NAMPT	True	True	matched
NCF2	True	True	matched
NDUFA4L2	True	True	matched
NFIB	True	True	matched
NGF	True	True	matched
NNMT	True	True	matched
NOTCH3	True	True	matched
NPC2	True	True	matched
NPL	True	True	matched
NR2F2	True	True	matched
NR2F2-AS1	True	True	matched
NRCAM	True	True	matched
NRG3	True	True	matched
NTM	True	True	matched
OLR1	True	True	matched
PABPC1	True	True	matched
PALLD	True	True	matched
PARD3	True	True	matched
