gene	monte_carlo_iterations	top10_probability	top20_probability	top30_probability	median_rank	rank_p2_5	rank_p97_5
COL5A2	5000	0.0	0.0	0.0124	105.0	32.0	269.0
EEF1A1	5000	0.0	0.002	0.0102	240.0	41.0	379.0
GRB10	5000	0.0	0.0018	0.01	251.0	41.0	385.0
C1orf162	5000	0.0	0.0002	0.0092	173.0	39.0	346.0
AEBP1	5000	0.0	0.0006	0.009	189.0	37.0	347.0
RIPOR2	5000	0.0004	0.0024	0.0068	290.0	55.0	408.0
PPARD	5000	0.0002	0.0016	0.0066	281.0	55.0	383.0
RBM47	5000	0.0	0.0	0.005	88.0	34.0	192.0
HLA-DPA1	5000	0.0	0.0	0.0048	243.0	42.0	406.0
EPS8	5000	0.0	0.0	0.0046	137.0	39.0	303.0
MAP1B	5000	0.0	0.0	0.0046	252.0	48.0	394.0
COTL1	5000	0.0	0.0	0.0042	221.0	48.0	362.0
ESAM	5000	0.0	0.0	0.0036	139.0	36.0	260.0
AIF1	5000	0.0	0.0002	0.0036	274.0	56.97500000000001	411.0
MS4A7	5000	0.0	0.0	0.0034	233.0	54.0	361.0
RGS5	5000	0.0	0.0	0.003	127.0	39.0	213.0
BMP2K	5000	0.0	0.0	0.0026	192.0	44.0	358.0
GAPDH	5000	0.0	0.0	0.0026	202.0	43.0	374.0
C11orf96	5000	0.0	0.0	0.0026	262.0	53.0	389.0
DPYSL3	5000	0.0	0.0	0.0022	190.0	43.0	324.0
LUZP2	5000	0.0	0.0	0.0014	111.0	40.0	317.0
NFIB	5000	0.0	0.0	0.0012	243.0	55.0	355.0
HLA-DMA	5000	0.0	0.0	0.0012	302.0	70.97500000000001	416.0
TPM2	5000	0.0	0.0	0.001	181.0	49.0	311.0
HLA-DMB	5000	0.0	0.0	0.001	249.0	47.0	408.0
LTBP1	5000	0.0	0.0	0.0008	73.0	34.0	168.02499999999964
CEBPD	5000	0.0	0.0	0.0008	301.0	65.0	406.0
F13B	5000	0.0	0.0002	0.0008	360.0	86.0	416.0
THBS2	5000	0.0	0.0	0.0004	158.0	48.0	293.0
SH3BGRL3	5000	0.0	0.0	0.0002	218.0	53.0	382.0
FTL	5000	0.0	0.0	0.0002	260.0	60.0	392.0
APOB	5000	0.0	0.0	0.0002	359.0	98.0	415.0
MNDA	5000	0.0	0.0	0.0	69.0	42.0	131.0
MMP9	5000	0.0	0.0	0.0	86.0	46.0	205.0
MS4A4A	5000	0.0	0.0	0.0	88.0	45.0	183.0
PLCB1	5000	0.0	0.0	0.0	88.0	68.0	144.0
MIR100HG	5000	0.0	0.0	0.0	92.0	50.0	222.0
UBASH3B	5000	0.0	0.0	0.0	103.0	64.0	192.0
RNF144B	5000	0.0	0.0	0.0	105.0	66.0	193.02499999999964
ECSCR	5000	0.0	0.0	0.0	109.0	70.0	176.0
LDB2	5000	0.0	0.0	0.0	112.0	91.0	155.0
AKAP13	5000	0.0	0.0	0.0	114.0	44.0	269.02499999999964
FCER1G	5000	0.0	0.0	0.0	120.0	43.0	311.0
NRCAM	5000	0.0	0.0	0.0	123.0	44.0	320.0
PODXL	5000	0.0	0.0	0.0	129.0	74.0	236.0
GLUL	5000	0.0	0.0	0.0	132.0	49.0	323.0
CD3G	5000	0.0	0.0	0.0	135.0	50.0	290.0
DCN	5000	0.0	0.0	0.0	138.0	55.0	245.0
TRIM58	5000	0.0	0.0	0.0	141.0	43.0	356.0
DOCK9	5000	0.0	0.0	0.0	141.0	48.0	355.0
LAPTM5	5000	0.0	0.0	0.0	142.0	47.0	295.02499999999964
CD3D	5000	0.0	0.0	0.0	142.0	55.0	294.0
PLXDC2	5000	0.0	0.0	0.0	143.0	41.0	347.0
