gene	universe_source	reconstruction_status
CDH11	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
CDH13	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
CDH2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
CDH6	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
CEBPD	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
CELF2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
CFH	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
CHKA	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
CLDN5	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
CLEC14A	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
CLEC2D	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
CLU	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
CNN3	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
COL11A1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
COL14A1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
COL18A1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
COL1A1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
COL1A2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
COL2A1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
COL3A1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
COL4A1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
COL4A2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
COL5A1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
COL5A2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
COL6A1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
COL6A2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
COL6A3	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
COL8A1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
COL9A1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
COL9A2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
COTL1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
CPE	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
CREG1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
CRIP2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
CRYAB	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
CSF1R	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
CSF2RA	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
CST3	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
CSTA	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
